name,phone_number,mail,prefecture,city,block,building_name,url,SSL
やんばるダイニング 松の古民家,050-5485-8909,,沖縄県,名護市大南,2-14-5,,https://r.gnavi.co.jp/hupu83pa0000/,TRUE
和食とお膳 花やしき,050-5486-7060,,兵庫県,宝塚市山本東,3-11-6,,https://r.gnavi.co.jp/c341900/,TRUE
炉端かば 出雲店,050-5485-9905,,島根県,出雲市渡橋町,1212,,https://r.gnavi.co.jp/y039004/,TRUE
ぴこぴこ精肉店 春日,050-5493-1328,,香川県,高松市春日町,1695-1,,https://r.gnavi.co.jp/1ucn7e2w0000/,TRUE
鮨 弁慶 海,050-5486-4642,,新潟県,新潟市中央区古町通,9-1480-3,ヌーベル古町1F,https://r.gnavi.co.jp/35rs6nxd0000/,TRUE
上々や食彩酒房 和・さび,050-5485-9817,,新潟県,新潟市中央区出来島,1-3-5,リリヴィ出来島1F,https://r.gnavi.co.jp/9je7pm1s0000/,TRUE
焼肉食彩 味来（MIRAI）,050-5489-5581,,愛知県,尾張旭市向町,2-5-9,,https://r.gnavi.co.jp/4jxtjz5j0000/,TRUE
全席個室 鮮や一夜 八重洲店,050-5484-0403,,東京都,中央区日本橋,3-2-16,マスヤビル6F,https://r.gnavi.co.jp/gak5844/,TRUE
魚将 さかなちゃん,050-5485-2625,,鹿児島県,鹿児島市樋之口町,9-3,,https://r.gnavi.co.jp/f115600/,TRUE
鮨と四季を味わう 奴寿司 華月,050-5486-2362,,栃木県,宇都宮市戸祭町,3031-1,,https://r.gnavi.co.jp/e663600/,TRUE
アジト 泡瀬店,050-5484-5869,,沖縄県,沖縄市高原,5-3-3,,https://r.gnavi.co.jp/faex101/,TRUE
